# energy,bc_sum,bcd_x_sum,bcd_y_sum
-1.145600,0.726466,0.041832,-0.253356
-1.139500,0.665978,0.029929,-0.292088
-1.133400,0.605268,0.028647,-0.321103
-1.127300,0.542766,0.022697,-0.360540
-1.121200,0.478976,0.016369,-0.402739
-1.115100,0.410388,0.006125,-0.464922
-1.109000,0.333305,-0.003773,-0.543427
-1.102900,0.251693,-0.020120,-0.630579
-1.096800,0.186831,-0.022580,-0.675705
-1.090700,0.127966,-0.029948,-0.695687
-1.084600,0.127966,-0.029948,-0.695687
-1.078500,0.027921,-0.021425,-0.695605
-1.072400,-0.016535,-0.015991,-0.689685
-1.066300,-0.016535,-0.015991,-0.689685
-1.060200,-0.097523,0.000277,-0.641503
-1.054100,-0.134302,0.006190,-0.616650
-1.048000,-0.169580,0.011631,-0.583413
-1.041900,-0.202218,0.012477,-0.553661
-1.035800,-0.202218,0.012477,-0.553661
-1.029700,-0.262752,0.018485,-0.498129
-1.023600,-0.292071,0.019519,-0.470484
-1.017500,-0.292071,0.019519,-0.470484
-1.011400,-0.346465,0.020300,-0.422881
-1.005300,-0.373255,0.021324,-0.397562
-0.999200,-0.399067,0.019275,-0.375430
-0.993100,-0.425121,0.018995,-0.359228
-0.987000,-0.449798,0.018289,-0.337819
-0.980900,-0.475240,0.016303,-0.320137
-0.974800,-0.501940,0.015426,-0.301830
-0.968700,-0.525296,0.011622,-0.289658
-0.962600,-0.550324,0.011270,-0.269007
-0.956500,-0.575060,0.006260,-0.247010
-0.950400,-0.599493,0.005082,-0.242629
-0.944300,-0.626284,0.003115,-0.216008
-0.938200,-0.650547,0.001491,-0.209416
-0.932100,-0.677841,-0.002657,-0.205881
-0.926000,-0.702314,-0.007522,-0.198449
-0.919900,-0.730218,-0.012776,-0.182305
-0.913800,-0.756228,-0.018316,-0.173395
-0.907700,-0.785226,-0.025241,-0.167086
-0.901600,-0.812338,-0.032145,-0.162720
-0.895500,-0.842046,-0.039970,-0.157963
-0.889400,-0.872266,-0.046536,-0.149284
-0.883300,-0.902354,-0.053572,-0.135122
-0.877200,-0.933956,-0.058856,-0.124323
-0.871100,-0.966290,-0.065027,-0.115910
-0.865000,-0.999501,-0.068613,-0.110920
-0.858900,-1.034208,-0.072454,-0.112735
-0.852800,-1.070591,-0.075901,-0.102857
-0.846700,-1.107241,-0.078512,-0.095763
-0.840600,-1.145042,-0.077551,-0.094656
-0.834500,-1.185667,-0.078672,-0.086907
-0.828400,-1.227340,-0.077255,-0.085815
-0.822300,-1.270628,-0.078246,-0.081635
-0.816200,-1.315275,-0.076048,-0.077312
-0.810100,-1.362630,-0.074650,-0.077019
-0.804000,-1.411760,-0.071473,-0.070498
-0.797900,-1.463523,-0.070139,-0.067887
-0.791800,-1.517272,-0.069796,-0.068503
-0.785700,-1.574284,-0.065445,-0.064896
-0.779600,-1.633853,-0.063346,-0.062189
-0.773500,-1.696594,-0.061437,-0.060556
-0.767400,-1.762987,-0.058811,-0.058493
-0.761300,-1.833174,-0.056308,-0.056685
-0.755200,-1.907273,-0.053707,-0.057453
-0.749100,-1.986095,-0.051303,-0.054651
-0.743000,-2.069853,-0.047539,-0.054262
-0.736900,-2.159099,-0.046198,-0.052781
-0.730800,-2.254308,-0.043232,-0.052941
-0.724700,-2.355991,-0.041524,-0.053526
-0.718600,-2.465508,-0.038167,-0.051188
-0.712500,-2.582879,-0.035728,-0.051386
-0.706400,-2.709774,-0.033061,-0.051590
-0.700300,-2.709774,-0.033061,-0.051590
-0.694200,-2.846813,-0.031204,-0.052125
-0.688100,-3.157760,-0.026103,-0.053099
-0.682000,-3.335218,-0.023331,-0.052233
-0.675900,-3.529764,-0.020535,-0.052908
-0.669800,-3.529764,-0.020535,-0.052908
-0.663700,-3.744580,-0.018205,-0.052019
-0.657600,-3.982578,-0.016013,-0.052164
-0.651500,-4.545887,-0.012630,-0.046140
-0.645400,-4.882340,-0.009343,-0.039427
-0.639300,-5.265743,-0.001997,-0.027696
-0.633200,-5.265743,-0.001997,-0.027696
-0.627100,-5.678392,0.012355,-0.010822
-0.621000,-5.674983,0.012465,-0.007404
-0.614900,-5.673272,0.012458,-0.006539
-0.608800,-5.671408,0.012558,-0.004370
-0.602700,-5.671408,0.012558,-0.004370
-0.596600,-5.669496,0.012588,-0.003700
-0.590500,-5.665644,0.012719,-0.000009
-0.584400,-5.663681,0.012767,0.002008
-0.578300,-5.661510,0.012813,0.004350
-0.572200,-5.661510,0.012813,0.004350
-0.566100,-5.659427,0.012863,0.005206
-0.560000,-5.655012,0.012950,0.008205
-0.553900,-5.652806,0.013020,0.010330
-0.547800,-5.650376,0.013049,0.012325
-0.541700,-5.648025,0.013079,0.014682
-0.535600,-5.648025,0.013079,0.014682
-0.529500,-5.642884,0.013165,0.017810
-0.523400,-5.640668,0.013172,0.019434
-0.517300,-5.637781,0.013203,0.020167
-0.511200,-5.635437,0.013147,0.022618
-0.505100,-5.635437,0.013147,0.022618
-0.499000,-5.629853,0.013155,0.026640
-0.492900,-5.627057,0.013157,0.029456
-0.486800,-5.624273,0.013150,0.030504
-0.480700,-5.621385,0.013075,0.033594
-0.474600,-5.621385,0.013075,0.033594
-0.468500,-5.615229,0.012917,0.036947
-0.462400,-5.285985,0.000739,0.058369
-0.456300,-4.903454,-0.007685,0.075403
-0.450200,-4.566841,-0.011778,0.088246
-0.444100,-4.267758,-0.013606,0.094814
-0.438000,-4.000466,-0.015363,0.101397
-0.431900,-3.760579,-0.017821,0.105750
-0.425800,-3.542874,-0.020167,0.108521
-0.419700,-3.345580,-0.023368,0.109600
-0.413600,-3.164532,-0.025748,0.111866
-0.407500,-2.999199,-0.028872,0.112486
-0.401400,-2.846487,-0.031805,0.115046
-0.395300,-2.705408,-0.035055,0.114185
-0.389200,-2.574907,-0.037884,0.117234
-0.383100,-2.452757,-0.040665,0.118118
-0.377000,-2.339280,-0.044393,0.120229
-0.370900,-2.232670,-0.046986,0.122035
-0.364800,-2.132900,-0.051324,0.124341
-0.358700,-2.038865,-0.054444,0.126715
-0.352600,-1.950410,-0.058996,0.127619
-0.346500,-1.866410,-0.062200,0.132829
-0.340400,-1.787316,-0.067393,0.133802
-0.334300,-1.711965,-0.070783,0.137928
-0.328200,-1.640776,-0.075656,0.142250
-0.322100,-1.572352,-0.082283,0.145511
-0.316000,-1.506949,-0.086529,0.148835
-0.309900,-1.444746,-0.094648,0.153285
-0.303800,-1.384565,-0.098695,0.157320
-0.297700,-1.327974,-0.106514,0.164501
-0.291600,-1.272217,-0.109686,0.170386
-0.285500,-1.219909,-0.112981,0.173273
-0.279400,-1.168048,-0.119169,0.181835
-0.273300,-1.118206,-0.114693,0.184279
-0.267200,-1.118206,-0.114693,0.184279
-0.261100,-1.070711,-0.120048,0.192951
-0.255000,-0.978384,-0.125760,0.207043
-0.248900,-0.933835,-0.123608,0.219598
-0.242800,-0.933835,-0.123608,0.219598
-0.236700,-0.890939,-0.124930,0.232531
-0.230600,-0.848707,-0.123027,0.235978
-0.224500,-0.765580,-0.122819,0.269066
-0.218400,-0.725305,-0.121827,0.284358
