# energy,bc_sum,bcd_x_sum,bcd_y_sum
-3.000000,0.000014,0.000014,-0.000018
-2.993900,0.000018,0.000018,-0.000023
-2.987800,0.000021,0.000022,-0.000028
-2.981700,0.000025,0.000026,-0.000033
-2.975600,0.000029,0.000030,-0.000038
-2.969500,0.000032,0.000035,-0.000043
-2.963400,0.000036,0.000040,-0.000049
-2.957300,0.000040,0.000044,-0.000054
-2.951200,0.000045,0.000049,-0.000060
-2.945100,0.000049,0.000054,-0.000066
-2.939000,0.000053,0.000060,-0.000073
-2.932900,0.000057,0.000066,-0.000079
-2.926800,0.000062,0.000071,-0.000085
-2.920700,0.000066,0.000077,-0.000092
-2.914600,0.000071,0.000084,-0.000099
-2.908500,0.000076,0.000089,-0.000106
-2.902400,0.000081,0.000096,-0.000113
-2.896300,0.000086,0.000102,-0.000121
-2.890200,0.000091,0.000110,-0.000128
-2.884100,0.000096,0.000120,-0.000136
-2.878000,0.000101,0.000125,-0.000145
-2.871900,0.000106,0.000133,-0.000154
-2.865800,0.000112,0.000141,-0.000164
-2.859700,0.000117,0.000150,-0.000173
-2.853600,0.000123,0.000155,-0.000184
-2.847500,0.000128,0.000167,-0.000193
-2.841400,0.000135,0.000174,-0.000204
-2.835300,0.000140,0.000182,-0.000216
-2.829200,0.000146,0.000191,-0.000228
-2.823100,0.000153,0.000198,-0.000240
-2.817000,0.000159,0.000212,-0.000252
-2.810900,0.000165,0.000226,-0.000264
-2.804800,0.000172,0.000230,-0.000279
-2.798700,0.000179,0.000239,-0.000294
-2.792600,0.000186,0.000250,-0.000309
-2.786500,0.000193,0.000261,-0.000325
-2.780400,0.000200,0.000272,-0.000340
-2.774300,0.000207,0.000280,-0.000357
-2.768200,0.000215,0.000290,-0.000376
-2.762100,0.000222,0.000305,-0.000394
-2.756000,0.000230,0.000314,-0.000414
-2.749900,0.000237,0.000329,-0.000435
-2.743800,0.000246,0.000341,-0.000455
-2.737700,0.000254,0.000353,-0.000478
-2.731600,0.000262,0.000368,-0.000500
-2.725500,0.000271,0.000377,-0.000524
-2.719400,0.000280,0.000390,-0.000548
-2.713300,0.000288,0.000407,-0.000573
-2.707200,0.000288,0.000407,-0.000573
-2.701100,0.000306,0.000437,-0.000627
-2.695000,0.000316,0.000448,-0.000657
-2.688900,0.000326,0.000466,-0.000687
-2.682800,0.000335,0.000484,-0.000718
-2.676700,0.000345,0.000500,-0.000750
-2.670600,0.000355,0.000516,-0.000784
-2.664500,0.000365,0.000537,-0.000819
-2.658400,0.000374,0.000561,-0.000853
-2.652300,0.000385,0.000574,-0.000893
-2.646200,0.000398,0.000577,-0.000939
-2.640100,0.000410,0.000591,-0.000979
-2.634000,0.000421,0.000614,-0.001025
-2.627900,0.000432,0.000633,-0.001070
-2.621800,0.000443,0.000659,-0.001117
-2.615700,0.000456,0.000677,-0.001168
-2.609600,0.000466,0.000709,-0.001214
-2.603500,0.000481,0.000719,-0.001274
-2.597400,0.000495,0.000718,-0.001335
-2.591300,0.000508,0.000748,-0.001390
-2.585200,0.000522,0.000764,-0.001455
-2.579100,0.000535,0.000793,-0.001519
-2.573000,0.000546,0.000827,-0.001582
-2.566900,0.000563,0.000843,-0.001655
-2.560800,0.000580,0.000841,-0.001735
-2.554700,0.000596,0.000873,-0.001810
-2.548600,0.000606,0.000916,-0.001887
-2.542500,0.000628,0.000923,-0.001976
-2.536400,0.000641,0.000954,-0.002064
-2.530300,0.000662,0.000953,-0.002162
-2.524200,0.000677,0.000984,-0.002260
-2.518100,0.000697,0.001003,-0.002366
-2.512000,0.000714,0.001028,-0.002477
-2.505900,0.000729,0.001072,-0.002582
-2.499800,0.000756,0.001059,-0.002708
-2.493700,0.000775,0.001087,-0.002837
-2.487600,0.000792,0.001127,-0.002967
-2.481500,0.000807,0.001180,-0.003093
-2.475400,0.000836,0.001157,-0.003248
-2.469300,0.000860,0.001180,-0.003402
-2.463200,0.000881,0.001219,-0.003560
-2.457100,0.000902,0.001251,-0.003726
-2.451000,0.000928,0.001259,-0.003906
-2.444900,0.000956,0.001276,-0.004099
-2.438800,0.000981,0.001307,-0.004297
-2.432700,0.001005,0.001344,-0.004505
-2.426600,0.001032,0.001366,-0.004720
-2.420500,0.001064,0.001370,-0.004955
-2.414400,0.001092,0.001412,-0.005198
-2.408300,0.001118,0.001461,-0.005452
-2.402200,0.001160,0.001432,-0.005721
-2.396100,0.001187,0.001474,-0.006019
-2.390000,0.001224,0.001457,-0.006331
-2.383900,0.001254,0.001506,-0.006647
-2.377800,0.001293,0.001523,-0.006982
-2.371700,0.001334,0.001561,-0.007348
-2.365600,0.001372,0.001601,-0.007724
-2.359500,0.001407,0.001631,-0.008116
-2.353400,0.001459,0.001629,-0.008560
-2.347300,0.001507,0.001658,-0.009019
-2.341200,0.001551,0.001652,-0.009510
-2.335100,0.001607,0.001657,-0.010016
-2.329000,0.001652,0.001708,-0.010566
-2.322900,0.001709,0.001738,-0.011142
-2.316800,0.001709,0.001738,-0.011142
-2.310700,0.001768,0.001681,-0.011770
-2.304600,0.001890,0.001859,-0.013134
-2.298500,0.001962,0.001874,-0.013860
-2.292400,0.001962,0.001874,-0.013860
-2.286300,0.002033,0.001947,-0.014660
-2.280200,0.002198,0.002126,-0.016446
-2.274100,0.002306,0.002008,-0.017445
-2.268000,0.002390,0.002088,-0.018525
-2.261900,0.002390,0.002088,-0.018525
-2.255800,0.002635,0.002247,-0.020846
-2.249700,0.002694,0.002489,-0.022143
-2.243600,0.002830,0.002824,-0.023470
-2.237500,0.002978,0.003103,-0.024978
-2.231400,0.003150,0.003383,-0.026591
-2.225300,0.003297,0.003964,-0.028220
-2.219200,0.003511,0.004630,-0.029949
-2.213100,0.003757,0.005395,-0.031845
-2.207000,0.003989,0.006272,-0.033742
-2.200900,0.004289,0.007852,-0.035678
-2.194800,0.004661,0.009529,-0.037645
-2.188700,0.005065,0.012368,-0.039324
-2.182600,0.005703,0.016555,-0.040591
-2.176500,0.006555,0.022536,-0.040476
-2.170400,0.007400,0.032794,-0.038318
-2.164300,0.008063,0.040386,-0.038524
-2.158200,0.008724,0.047554,-0.039379
-2.152100,0.009305,0.055286,-0.041497
-2.146000,0.010017,0.063810,-0.044082
-2.139900,0.010738,0.074567,-0.046788
-2.133800,0.011533,0.089099,-0.051036
-2.127700,0.012242,0.099274,-0.055280
-2.121600,0.013236,0.110883,-0.061191
-2.115500,0.014510,0.121826,-0.070653
-2.109400,0.016053,0.133627,-0.085037
-2.103300,0.018120,0.143656,-0.107204
-2.097200,0.020925,0.147866,-0.137984
-2.091100,0.025096,0.156390,-0.180919
-2.085000,0.031752,0.166291,-0.244399
-2.078900,0.043183,0.188599,-0.337817
-2.072800,0.067353,0.264364,-0.449068
-2.066700,0.134396,0.227681,-0.301963
-2.060600,0.169415,0.156222,-0.227987
-2.054500,0.189799,0.105025,-0.193475
-2.048400,0.202299,0.067003,-0.167871
-2.042300,0.209524,0.033497,-0.147210
-2.036200,0.212199,0.000880,-0.133298
-2.030100,0.185959,-0.076534,-0.116024
-2.024000,0.131496,0.030661,-0.078675
-2.017900,0.089535,0.064324,-0.087726
-2.011800,0.054616,0.071093,-0.103702
-2.005700,0.024656,0.083939,-0.112423
-1.999600,-0.001921,0.094418,-0.119274
-1.993500,-0.026030,0.116898,-0.120616
-1.987400,-0.048328,0.130351,-0.120234
-1.981300,-0.069165,0.135014,-0.122037
-1.975200,-0.088334,0.124457,-0.117784
-1.969100,-0.107428,0.105418,-0.119261
-1.963000,-0.125581,0.083698,-0.121068
-1.956900,-0.143805,0.061621,-0.126986
-1.950800,-0.161430,0.030304,-0.128021
-1.944700,-0.178856,0.016066,-0.126969
-1.938600,-0.196587,0.022140,-0.118046
-1.932500,-0.197003,0.018572,-0.120079
-1.926400,-0.191840,0.006935,-0.122557
-1.920300,-0.186332,-0.002629,-0.125638
-1.914200,-0.180497,-0.001835,-0.126008
-1.908100,-0.174033,-0.007364,-0.126898
-1.902000,-0.167209,-0.011369,-0.128435
-1.895900,-0.160427,-0.011341,-0.126645
-1.889800,-0.153672,-0.011396,-0.125741
-1.883700,-0.146387,-0.008966,-0.124073
-1.877600,-0.139016,-0.011587,-0.124999
-1.871500,-0.131702,-0.013636,-0.124274
-1.865400,-0.124375,-0.022206,-0.123639
-1.859300,-0.116991,-0.022174,-0.121340
-1.853200,-0.109810,-0.026579,-0.119576
-1.847100,-0.109810,-0.026579,-0.119576
-1.841000,-0.095376,-0.048355,-0.118568
-1.834900,-0.095376,-0.048355,-0.118568
-1.828800,-0.088388,-0.045347,-0.113986
-1.822700,-0.074542,-0.037186,-0.102418
-1.816600,-0.074542,-0.037186,-0.102418
-1.810500,-0.061385,-0.042649,-0.091443
-1.804400,-0.054670,-0.038467,-0.083611
-1.798300,-0.054670,-0.038467,-0.083611
-1.792200,-0.041919,-0.040784,-0.071844
-1.786100,-0.041919,-0.040784,-0.071844
-1.780000,-0.028830,-0.037561,-0.060156
-1.773900,-0.021723,-0.033633,-0.054553
-1.767800,-0.021723,-0.033633,-0.054553
-1.761700,-0.004866,-0.011710,-0.041861
-1.755600,0.005052,0.001165,-0.033738
-1.749500,0.018064,0.021172,-0.025787
-1.743400,0.038744,0.037623,-0.014001
-1.737300,0.038744,0.037623,-0.014001
-1.731200,0.068295,0.044245,0.000655
-1.725100,0.080769,0.054082,0.007360
-1.719000,0.093006,0.059043,0.015660
-1.712900,0.104952,0.061320,0.020681
-1.706800,0.117553,0.065444,0.027117
-1.700700,0.130539,0.069787,0.032101
-1.694600,0.143953,0.069035,0.036115
-1.688500,0.157782,0.070137,0.039171
-1.682400,0.172435,0.076682,0.043629
-1.676300,0.187912,0.075757,0.046829
-1.670200,0.203930,0.076526,0.048597
-1.664100,0.220855,0.078256,0.050583
-1.658000,0.238871,0.076312,0.052724
-1.651900,0.257297,0.077779,0.053712
-1.645800,0.276979,0.075582,0.054870
-1.639700,0.297358,0.071080,0.054304
-1.633600,0.297358,0.071080,0.054304
-1.627500,0.341811,0.073373,0.058396
-1.621400,0.341811,0.073373,0.058396
-1.615300,0.365369,0.070170,0.057808
